표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7457940005","457940","에스케이증권제10호기업인수목적","에스케이증권제10호스팩","SK Securities No.10 Special Purpose Acquisition Company","2023/08/11","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3310000"
"KR7472230002","472230","에스케이증권제11호기업인수목적","에스케이증권제11호스팩","SK Securities No.11 Special Purpose Acquisition Company","2024/03/04","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4155000"
"KR7473000008","473000","에스케이증권제12호기업인수목적","에스케이증권제12호스팩","SK Securities No.12 Special Purpose Acquisition Company","2024/05/07","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3310000"
"KR7435870001","435870","에스케이증권제8호기업인수목적","에스케이증권제8호스팩","SK Securities No.8 Special Purpose Acquisition Company","2022/10/06","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3720000"
"KR7455910000","455910","에스케이증권제9호기업인수목적","에스케이증권제9호스팩","SK Securities No.9 Special Purpose Acquisition Company","2023/07/21","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5020000"
"KR7000660001","000660","에스케이하이닉스보통주","SK하이닉스","SK hynix","1996/12/26","KOSPI","주권",,"보통주","5000","728002365"
"KR7096630009","096630","에스코넥","에스코넥","S Connect Co., LTD","2007/12/26","KOSDAQ","주권","중견기업부","보통주","200","77674543"
"KR7069510006","069510","에스텍","에스텍","ESTec Corporation","2003/11/14","KOSDAQ","주권","중견기업부","보통주","500","10910000"
"KR7234300002","234300","에스트래픽","에스트래픽","STraffic Co., Ltd.","2017/12/05","KOSDAQ","주권","우량기업부","보통주","500","27532242"
"KR7039440003","039440","에스티아이","에스티아이","Systems Technology Incorporated","2002/02/28","KOSDAQ","주권","우량기업부","보통주","500","15830000"
"KR7098660004","098660","에스티오","에스티오","STO Co., Ltd.","2009/04/17","KOSDAQ","주권","중견기업부","보통주","500","12500976"
"KR7052020005","052020","에스티큐브","에스티큐브","STCUBE","2001/07/05","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","46694249"
"KR7237690003","237690","에스티팜","에스티팜","ST Pharm Co., Ltd.","2016/06/23","KOSDAQ GLOBAL","주권","우량기업부","보통주","500","18933904"
"KR7050760008","050760","에스폴리텍","에스폴리텍","S POLYTECH CO.,LTD.","2002/05/16","KOSDAQ","주권","중견기업부","보통주","500","16334678"
"KR7288620008","288620","에스퓨얼셀","에스퓨얼셀","S-Fuelcell Co., Ltd.","2018/10/15","KOSDAQ","주권","벤처기업부","보통주","500","6979316"
"KR7443670005","443670","에스피소프트","에스피소프트","SPSoft Inc.","2024/02/15","KOSDAQ","주권","벤처기업부","보통주","100","21197026"
"KR7317830008","317830","에스피시스템스","에스피시스템스","SP SYSTEMS CO.,LTD.","2019/08/14","KOSDAQ","주권","벤처기업부","보통주","100","10773818"
"KR7058610007","058610","에스피지","에스피지","SPG CO., LTD","2002/07/23","KOSDAQ","주권","우량기업부","보통주","500","22177360"
"KR7043340009","043340","에쎈테크","에쎈테크","ESSEN TECH CO., LTD.","2000/08/29","KOSDAQ","주권","중견기업부","보통주","500","95000000"
"KR7023960008","023960","에쓰씨엔지니어링보통주","에쓰씨엔지니어링","SC ENGINEERING","1997/06/23","KOSPI","주권",,"보통주","500","32861366"
"KR7298690009","298690","에어부산보통주","에어부산","AirBusan","2018/12/27","KOSPI","주권",,"보통주","1000","116640000"
"KR7187660006","187660","에이디엠코리아","에이디엠코리아","ADM Korea Inc.","2021/06/03","KOSDAQ","주권","중견기업부","보통주","100","21836250"
"KR7054630009","054630","에이디칩스","에이디칩스","Advanced Digital Chips Inc.","2001/11/13","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","79709461"
"KR7200710002","200710","에이디테크놀로지","에이디테크놀로지","ADTechnology Co., Ltd.","2014/12/16","KOSDAQ","주권","중견기업부","보통주","500","13440822"
"KR7096690003","096690","에이루트","에이루트","Aroot Co., Ltd.","2010/12/01","KOSDAQ","주권","투자주의환기종목(소속부없음)","보통주","2500","33477189"
"KR7078520004","078520","에이블씨엔씨보통주","에이블씨엔씨","ABLE C&C","2011/09/07","KOSPI","주권",,"보통주","500","26014161"
"KR7298380007","298380","에이비엘바이오","에이비엘바이오","ABL Bio Inc.","2018/12/19","KOSDAQ","주권","기술성장기업부","보통주","500","47892539"
"KR7203400007","203400","에이비온","에이비온","ABION Inc.","2021/09/08","KOSDAQ","주권","기술성장기업부","보통주","500","22025993"
"KR7195990007","195990","에이비프로바이오","에이비프로바이오","Abpro Bio Co., Ltd.","2015/04/13","KOSDAQ","주권","중견기업부","보통주","500","284689721"
"KR7003800000","003800","에이스침대","에이스침대","AceBed","1996/05/03","KOSDAQ","주권","우량기업부","보통주","1000","11090000"
"KR7088800008","088800","에이스테크놀로지","에이스테크","Ace Technologies Corp.","2006/03/27","KOSDAQ","주권","중견기업부","보통주","500","69926073"
"KR7241840008","241840","에이스토리","에이스토리","ASTORY Co., Ltd.","2019/07/19","KOSDAQ","주권","우량기업부","보통주","500","9539994"
"KR7311960009","311960","에이아이더뉴트리진","에이아이더뉴트리진","AltheNutrigene","2022/11/29","KONEX","주권","일반기업부","보통주","500","3062664"
