etf코드,날짜,수익률,1년간 코스피 수익률,1년간 코스피 std
KR7069500007,20240329,0.28579130609673586,0.10891603227096436,0.009728731730349233
KR7069660009,20240329,-0.18270003471336227,0.10891603227096436,0.009728731730349233
KR7091160002,20240329,1.8215789966307896,0.10891603227096436,0.009728731730349233
KR7091170001,20240329,0.3330326065236555,0.10891603227096436,0.009728731730349233
KR7091180000,20240329,0.010256741044585294,0.10891603227096436,0.009728731730349233
KR7091220004,20240329,0.5785949664561698,0.10891603227096436,0.009728731730349233
KR7091230003,20240329,0.39927851720715646,0.10891603227096436,0.009728731730349233
KR7098560006,20240329,-0.028896112493091763,0.10891603227096436,0.009728731730349233
KR7100910009,20240329,0.548419058663971,0.10891603227096436,0.009728731730349233
KR7102110004,20240329,0.2796260131204129,0.10891603227096436,0.009728731730349233
KR7102780004,20240329,0.050362344377205215,0.10891603227096436,0.009728731730349233
KR7102960002,20240329,-0.15271630731663677,0.10891603227096436,0.009728731730349233
KR7102970001,20240329,0.414844779836806,0.10891603227096436,0.009728731730349233
KR7104520002,20240329,-0.15541947099097242,0.10891603227096436,0.009728731730349233
KR7104530001,20240329,0.02908466257668718,0.10891603227096436,0.009728731730349233
KR7105190003,20240329,0.08025372467173342,0.10891603227096436,0.009728731730349233
KR7105780001,20240329,0.044926552795031105,0.10891603227096436,0.009728731730349233
KR7108450008,20240329,0.18099229100191438,0.10891603227096436,0.009728731730349233
KR7108590001,20240329,0.1550547778228082,0.10891603227096436,0.009728731730349233
KR7117460006,20240329,-0.3134379229020934,0.10891603227096436,0.009728731730349233
KR7117680009,20240329,-0.49539317642765923,0.10891603227096436,0.009728731730349233
KR7117700005,20240329,-0.5795473146742827,0.10891603227096436,0.009728731730349233
KR7122090004,20240329,-0.18197722522129,0.10891603227096436,0.009728731730349233
KR7131890006,20240329,0.16629035133258263,0.10891603227096436,0.009728731730349233
KR7138520002,20240329,-0.29591480943953186,0.10891603227096436,0.009728731730349233
KR7138530001,20240329,0.04591227171872325,0.10891603227096436,0.009728731730349233
KR7138540000,20240329,-0.4710271356099026,0.10891603227096436,0.009728731730349233
KR7139220008,20240329,-0.7979283782208862,0.10891603227096436,0.009728731730349233
KR7139230007,20240329,0.47862495487677936,0.10891603227096436,0.009728731730349233
KR7139240006,20240329,-0.2876062660388575,0.10891603227096436,0.009728731730349233
KR7139250005,20240329,0.5907258349619577,0.10891603227096436,0.009728731730349233
KR7139260004,20240329,0.04885491085722893,0.10891603227096436,0.009728731730349233
KR7139270003,20240329,0.0564508771235972,0.10891603227096436,0.009728731730349233
KR7139280002,20240329,-0.06495499233849455,0.10891603227096436,0.009728731730349233
KR7139290001,20240329,0.06665189487729117,0.10891603227096436,0.009728731730349233
KR7140570003,20240329,-0.29722997672306795,0.10891603227096436,0.009728731730349233
KR7140580002,20240329,0.10366417048005583,0.10891603227096436,0.009728731730349233
KR7140700006,20240329,1.2852790915211432,0.10891603227096436,0.009728731730349233
KR7140710005,20240329,-0.022259589271185765,0.10891603227096436,0.009728731730349233
KR7140950007,20240329,0.1708951582192999,0.10891603227096436,0.009728731730349233
KR7143460004,20240329,0.206372170022727,0.10891603227096436,0.009728731730349233
KR7143860005,20240329,0.8683895959295502,0.10891603227096436,0.009728731730349233
KR7145850004,20240329,0.17789632269201627,0.10891603227096436,0.009728731730349233
KR7147970008,20240329,0.270954486889299,0.10891603227096436,0.009728731730349233
KR7148020001,20240329,-0.04326789554302779,0.10891603227096436,0.009728731730349233
KR7150460004,20240329,-0.34073346528161264,0.10891603227096436,0.009728731730349233
KR7152100004,20240329,0.027452199002774735,0.10891603227096436,0.009728731730349233
KR7152870002,20240329,0.0639953089226244,0.10891603227096436,0.009728731730349233
KR7153270004,20240329,-0.05129232533436778,0.10891603227096436,0.009728731730349233
KR7156080004,20240329,-0.027267459586657883,0.10891603227096436,0.009728731730349233
KR7157490004,20240329,0.32631093341534667,0.10891603227096436,0.009728731730349233
KR7157500000,20240329,0.5898630237867295,0.10891603227096436,0.009728731730349233
KR7159800002,20240329,0.19646036932724353,0.10891603227096436,0.009728731730349233
KR7161510003,20240329,0.8595999200173725,0.10891603227096436,0.009728731730349233
KR7174350009,20240329,-0.012812278945612321,0.10891603227096436,0.009728731730349233
KR7192720001,20240329,0.1326297273526824,0.10891603227096436,0.009728731730349233
KR7210780003,20240329,0.26926439656045775,0.10891603227096436,0.009728731730349233
KR7211560008,20240329,0.3917856676708833,0.10891603227096436,0.009728731730349233
KR7211900006,20240329,0.21935018673460527,0.10891603227096436,0.009728731730349233
KR7213610009,20240329,-0.10559932973726072,0.10891603227096436,0.009728731730349233
KR7215620006,20240329,-0.2642322389334375,0.10891603227096436,0.009728731730349233
KR7223190000,20240329,0.21630769216375056,0.10891603227096436,0.009728731730349233
KR7226380004,20240329,-0.07869138197676917,0.10891603227096436,0.009728731730349233
KR7226490001,20240329,0.09659439924037372,0.10891603227096436,0.009728731730349233
KR7226980001,20240329,-0.22392679426424233,0.10891603227096436,0.009728731730349233
KR7227540002,20240329,0.5139121460450684,0.10891603227096436,0.009728731730349233
KR7227550001,20240329,-0.2805851768046058,0.10891603227096436,0.009728731730349233
KR7227560000,20240329,-0.18831716776551555,0.10891603227096436,0.009728731730349233
KR7227570009,20240329,-0.5516739245715454,0.10891603227096436,0.009728731730349233
KR7227830007,20240329,0.10894152972917226,0.10891603227096436,0.009728731730349233
KR7228790002,20240329,0.09557953066151703,0.10891603227096436,0.009728731730349233
KR7228800009,20240329,-0.26221316825566043,0.10891603227096436,0.009728731730349233
