단축코드,시가총액,날짜,표준코드
315930,226620000000,20190329,KR7315930008
261220,13028125000,20190329,KR7261220008
271050,3397500000,20190329,KR7271050007
117700,21205500000,20190329,KR7117700005
300950,10802000000,20190329,KR7300950003
266390,10944000000,20190329,KR7266390004
279530,56605500000,20190329,KR7279530000
132030,82280000000,20190329,KR7132030008
280940,5100000000,20190329,KR7280940008
138910,5170500000,20190329,KR7138910005
114260,94273200000,20190329,KR7114260003
152380,7925850000,20190329,KR7152380002
176950,131206560000,20190329,KR7176950004
292770,5073480000,20190329,KR7292770005
276990,14181750000,20190329,KR7276990009
102960,10689300000,20190329,KR7102960002
273140,135266270000,20190329,KR7273140004
153130,1009974645000,20190329,KR7153130000
214980,1025754030000,20190329,KR7214980005
122630,2388912000000,20190329,KR7122630007
244620,21890000000,20190329,KR7244620001
314250,8820000000,20190329,KR7314250002
219480,48654000000,20190329,KR7219480001
276970,17217000000,20190329,KR7276970001
185680,6149000000,20190329,KR7185680006
200030,7968930000,20190329,KR7200030005
218420,6271920000,20190329,KR7218420008
304940,10064250000,20190329,KR7304940000
261240,12268750000,20190329,KR7261240006
261250,15414000000,20190329,KR7261250005
261270,5434000000,20190329,KR7261270003
261260,8048400000,20190329,KR7261260004
280930,5117500000,20190329,KR7280930009
308620,6357000000,20190329,KR7308620004
304660,6345000000,20190329,KR7304660004
304670,5673000000,20190329,KR7304670003
266360,6552000000,20190329,KR7266360007
244580,16742800000,20190329,KR7244580007
91160,12840000000,20190329,KR7091160002
211900,34526250000,20190329,KR7211900006
237370,19476000000,20190329,KR7237370002
244670,17746000000,20190329,KR7244670006
140700,9924000000,20190329,KR7140700006
102780,1042269000000,20190329,KR7102780004
213610,29420000000,20190329,KR7213610009
251350,326592000000,20190329,KR7251350005
256750,8958000000,20190329,KR7256750001
117460,8099000000,20190329,KR7117460006
140710,2800000000,20190329,KR7140710005
144600,26781000000,20190329,KR7144600004
91170,82342750000,20190329,KR7091170001
114800,535860000000,20190329,KR7114800006
101280,7419000000,20190329,KR7101280006
91180,13300000000,20190329,KR7091180000
273130,711899400000,20190329,KR7273130005
169950,88642500000,20190329,KR7169950003
283580,61473000000,20190329,KR7283580009
102970,79218000000,20190329,KR7102970001
117680,13339200000,20190329,KR7117680009
279540,11502000000,20190329,KR7279540009
229200,875179500000,20190329,KR7229200001
233740,1125376000000,20190329,KR7233740000
251340,290928000000,20190329,KR7251340006
226490,625339000000,20190329,KR7226490001
237350,12888000000,20190329,KR7237350004
138920,7686000000,20190329,KR7138920004
244660,15315000000,20190329,KR7244660007
266410,45356000000,20190329,KR7266410000
298770,4705000000,20190329,KR7298770009
266420,8940000000,20190329,KR7266420009
69660,688853000000,20190329,KR7069660009
294400,198198000000,20190329,KR7294400007
253250,25681600000,20190329,KR7253250005
253240,8599050000,20190329,KR7253240006
253230,12144000000,20190329,KR7253230007
100910,8244000000,20190329,KR7100910009
104530,10825000000,20190329,KR7104530001
148070,46857800000,20190329,KR7148070006
167860,8080500000,20190329,KR7167860006
114470,36791700000,20190329,KR7114470008
130730,49499025000,20190329,KR7130730005
138230,44854650000,20190329,KR7138230008
225800,58144500000,20190329,KR7225800002
230480,29078400000,20190329,KR7230480006
139660,11474500000,20190329,KR7139660005
104520,14418000000,20190329,KR7104520002
200250,13580000000,20190329,KR7200250009
316670,36533000000,20190329,KR7316670009
291630,10270000000,20190329,KR7291630002
291620,12475000000,20190329,KR7291620003
153270,8215600000,20190329,KR7153270004
122260,53726100000,20190329,KR7122260003
295040,265802250000,20190329,KR7295040000
292500,74527500000,20190329,KR7292500006
220130,7785000000,20190329,KR7220130009
102110,4160570000000,20190329,KR7102110004
139260,254345000000,20190329,KR7139260004
139220,41610000000,20190329,KR7139220008
139290,8204100000,20190329,KR7139290001
139270,30346800000,20190329,KR7139270003
227550,3923400000,20190329,KR7227550001
227560,5930400000,20190329,KR7227560000
139250,41932800000,20190329,KR7139250005
139230,17210400000,20190329,KR7139230007
139240,36973400000,20190329,KR7139240006
227540,10449000000,20190329,KR7227540002
243880,24186750000,20190329,KR7243880002
310960,80512500000,20190329,KR7310960000
252000,80652750000,20190329,KR7252000005
267770,108984000000,20190329,KR7267770006
252710,88774000000,20190329,KR7252710009
243890,13818750000,20190329,KR7243890001
315270,35877500000,20190329,KR7315270009
166400,8571500000,20190329,KR7166400002
289480,11688000000,20190329,KR7289480006
305540,21924000000,20190329,KR7305540007
292160,67782000000,20190329,KR7292160009
228820,6133500000,20190329,KR7228820007
300610,8140500000,20190329,KR7300610003
138530,5619600000,20190329,KR7138530001
289260,5395500000,20190329,KR7289260002
289250,5730450000,20190329,KR7289250003
310970,727548500000,20190329,KR7310970009
269370,10480000000,20190329,KR7269370003
248270,12170000000,20190329,KR7248270001
292150,372324000000,20190329,KR7292150000
139280,181420700000,20190329,KR7139280002
237440,14325000000,20190329,KR7237440003
160580,8575000000,20190329,KR7160580007
114820,46279800000,20190329,KR7114820004
275980,240196000000,20190329,KR7275980001
276000,11245000000,20190329,KR7276000007
139310,3141000000,20190329,KR7139310007
139320,4413000000,20190329,KR7139320006
137610,41368500000,20190329,KR7137610002
182490,44023000000,20190329,KR7182490003
272580,362338550000,20190329,KR7272580002
157450,745539900000,20190329,KR7157450008
105010,5031000000,20190329,KR7105010003
123320,28176000000,20190329,KR7123320004
174350,37607600000,20190329,KR7174350009
147970,23161000000,20190329,KR7147970008
182480,33825000000,20190329,KR7182480004
225040,25496000000,20190329,KR7225040005
143850,108877375000,20190329,KR7143850006
225030,22880500000,20190329,KR7225030006
133690,71478000000,20190329,KR7133690008
203780,10139500000,20190329,KR7203780002
245340,23584000000,20190329,KR7245340005
261110,9175000000,20190329,KR7261110001
261120,20073500000,20190329,KR7261120000
305080,12774000000,20190329,KR7305080004
228810,6618150000,20190329,KR7228810008
91230,13062000000,20190329,KR7091230003
98560,6973200000,20190329,KR7098560006
211560,15478650000,20190329,KR7211560008
138520,5457000000,20190329,KR7138520002
157490,26126800000,20190329,KR7157490004
228800,4876200000,20190329,KR7228800009
227570,41342400000,20190329,KR7227570009
261140,25510400000,20190329,KR7261140008
130680,51727500000,20190329,KR7130680002
217770,5781000000,20190329,KR7217770007
195930,35344000000,20190329,KR7195930003
225050,7760000000,20190329,KR7225050004
245350,12065000000,20190329,KR7245350004
91220,5904600000,20190329,KR7091220004
307510,9732500000,20190329,KR7307510008
225060,7847000000,20190329,KR7225060003
236350,11347000000,20190329,KR7236350005
123310,64902000000,20190329,KR7123310005
195920,29051000000,20190329,KR7195920004
241180,12880000000,20190329,KR7241180009
292560,9198000000,20190329,KR7292560000
150460,243993750000,20190329,KR7150460004
302190,17855100000,20190329,KR7302190004
157500,9753600000,20190329,KR7157500000
307520,9024000000,20190329,KR7307520007
192090,243507000000,20190329,KR7192090009
204480,272600000000,20190329,KR7204480008
217780,32648000000,20190329,KR7217780006
245360,104912000000,20190329,KR7245360003
117690,7866000000,20190329,KR7117690008
232080,495797600000,20190329,KR7232080002
233160,108240000000,20190329,KR7233160001
261060,10276400000,20190329,KR7261060008
261070,8180400000,20190329,KR7261070007
250780,22302000000,20190329,KR7250780004
277630,162975000000,20190329,KR7277630000
210780,33087600000,20190329,KR7210780003
277640,67725000000,20190329,KR7277640009
277650,104610000000,20190329,KR7277650008
143860,133650000000,20190329,KR7143860005
138540,5604900000,20190329,KR7138540000
228790,10059600000,20190329,KR7228790002
108590,21378750000,20190329,KR7108590001
145850,7280000000,20190329,KR7145850004
159800,8538000000,20190329,KR7159800002
152870,142040250000,20190329,KR7152870002
192720,20023800000,20190329,KR7192720001
140950,16476800000,20190329,KR7140950007
215620,14454000000,20190329,KR7215620006
152100,601772000000,20200331,KR7152100004
295820,3363250000,20200331,KR7295820005
253150,7092000000,20200331,KR7253150007
253160,14602500000,20200331,KR7253160006
292750,17840000000,20200331,KR7292750007
333940,23416250000,20200331,KR7333940005
333950,8740000000,20200331,KR7333950004
333960,24887500000,20200331,KR7333960003
333970,22083000000,20200331,KR7333970002
333980,29249500000,20200331,KR7333980001
269530,5427000000,20200331,KR7269530002
251590,16778500000,20200331,KR7251590006
161510,182641500000,20200331,KR7161510003
251600,11082000000,20200331,KR7251600003
289670,5984680000,20200331,KR7289670002
298340,6778880000,20200331,KR7298340001
189400,4977000000,20200331,KR7189400005
278620,25272465000,20200331,KR7278620000
269540,16312500000,20200331,KR7269540001
287180,11517500000,20200331,KR7287180004
213630,5276150000,20200331,KR7213630007
